0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-551.59467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-551.59467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-549.80975,2.522566,2.5178738,2.5100706,2.4991903,2.4852772,2.4683843,2.4485762,2.4259293,2.4005432,2.3725052,2.3419256,2.3089242,2.2736268,2.2361684,2.1966882,2.1553378,2.1122646,2.0676332,2.0216017
-550.4095,1.673545,1.6661315,1.6539782,1.6373761,1.6167302,1.5925364,1.5653807,1.5359119,1.5048435,1.4729095,1.4408702,1.4094794,1.3794694,1.3515327,1.3263016,1.3043348,1.2861066,1.2719841,1.2622268
-550.02484,2.2106156,2.1826596,2.136871,2.0744357,1.9969635,1.9064574,1.8052484,1.6959394,1.5813305,1.4643533,1.3479842,1.2351702,1.1287469,1.0313716,0.9454456,0.8730513,0.8159198,0.7753434,0.752187
-550.44196,1.6262906,1.6150067,1.5967276,1.5722245,1.5425243,1.5088747,1.4726801,1.4354528,1.3987286,1.3640264,1.332758,1.3061811,1.285338,1.2710161,1.2637068,1.2635901,1.2705288,1.284062,1.3034387
-550.40106,1.6809196,1.6600302,1.6262317,1.5810041,1.5263262,1.4645844,1.3984687,1.3308562,1.2646724,1.2027756,1.1478144,1.1021245,1.0676064,1.045668,1.0371361,1.0422432,1.0605838,1.0911906,1.1325212
-550.59906,1.4020972,1.3848166,1.3575062,1.322278,1.2818508,1.2393329,1.1979809,1.1609337,1.1309783,1.110311,1.1003883,1.1017894,1.1141971,1.1364025,1.1664239,1.2016501,1.2390587,1.2754545,1.3077219
-550.72644,1.227697,1.2274191,1.2269574,1.22631,1.2254789,1.2244622,1.2232621,1.2218786,1.2203084,1.2185555,1.2166197,1.2145,1.2121983,1.209713,1.2070465,1.2041992,1.2011677,1.1979562,1.1945654
-550.6858,1.2852545,1.2849637,1.2844802,1.2838025,1.2829324,1.2818681,1.2806118,1.2791615,1.2775196,1.2756844,1.273658,1.2714388,1.2690291,1.2664274,1.2636359,1.2606568,1.2574815,1.2541195,1.2505696
-550.77045,1.165494,1.1652306,1.1647918,1.1641767,1.1633883,1.1624235,1.1612837,1.1599681,1.1584798,1.156816,1.154978,1.1529651,1.1507804,1.1484216,1.1458898,1.1431844,1.1403089,1.1372606,1.1340411
-550.8437,1.061925,1.0616852,1.0612854,1.0607249,1.0600065,1.0591274,1.058089,1.0568902,1.0555342,1.0540183,1.0523436,1.0505095,1.0485191,1.0463698,1.044063,1.041598,1.038978,1.0362005,1.0332671
-550.8501,1.0528826,1.0526443,1.0522482,1.051693,1.0509802,1.0501083,1.0490792,1.0478929,1.0465461,1.0450426,1.0433826,1.0415646,1.0395907,1.0374593,1.0351726,1.0327308,1.0301309,1.0273767,1.0244687
-550.867,1.0289485,1.0287161,1.0283288,1.0277865,1.0270895,1.0262378,1.0252316,1.024071,1.0227561,1.0212873,1.0196646,1.0178884,1.0159589,1.0138763,1.0116411,1.0092498,1.0067141,1.0040228,1.0011805
-550.9027,0.97842526,0.9782038,0.97783583,0.97731984,0.9766575,0.9758471,0.9748908,0.9737886,0.9725369,0.9711398,0.9695972,0.96790767,0.9660734,0.9640927,0.9619677,0.95969874,0.95728254,0.954723,0.9520207
-550.9584,0.89969254,0.8994893,0.89915055,0.8986774,0.898067,0.8973223,0.8964425,0.8954286,0.894278,0.8929936,0.8915748,0.89002264,0.8883346,0.8865137,0.8845592,0.88247633,0.88025117,0.877898,0.8754127
-551.0023,0.83581924,0.8305246,0.8218452,0.8099948,0.7952652,0.77801836,0.7586776,0.7377135,0.71564853,0.6930105,0.6703522,0.6482214,0.62714946,0.60763836,0.59014785,0.57508427,0.56278694,0.55352664,0.5474916
-551.1381,0.6456128,0.64546686,0.6452238,0.6448827,0.6444463,0.6439119,0.64328057,0.64255136,0.6417273,0.6408057,0.63978755,0.6386721,0.6374624,0.6361557,0.6347532,0.6332542,0.6316617,0.6299732,0.62818974
-547.0894,6.237816,5.8469486,5.22662,4.4206448,3.484914,2.4825962,1.478805,0.5352284,-0.2947129,-0.9698947,-1.4641101,-1.7673346,-1.8853946,-1.8382365,-1.6569775,-1.3801332,-1.0493271,-0.7052158,-0.3835828
-537.0214,19.278477,15.958946,11.913334,7.784753,3.5734234,-0.39238584,-3.1374621,-3.9580286,-3.2301216,-1.8861871,-0.31733382,1.7072445,4.0746,5.8761706,6.2523756,5.3534966,4.0385575,2.7762518,1.3244598
-415.47128,128.05983,26.830988,2.1061459,18.233295,7.0429816,-12.867532,-13.899412,-10.878511,-8.630661,-2.8922408,-6.852563,-17.132183,-12.730688,-2.923438,-8.444742,-17.844233,-17.678638,-17.686811,-16.898384
-361.13354,159.91245,9.41463,3.2507231,30.1054,-10.253469,-34.415005,-14.853977,-12.024717,-16.220589,-5.5919805,-11.794439,-28.282305,-22.428219,-13.429146,-17.530218,-14.070936,-7.9649076,-15.29826,-16.78436
-384.67178,142.91061,13.723526,5.130948,25.42818,-7.9238806,-28.543636,-14.841654,-13.526184,-19.407063,-16.175034,-19.372135,-23.323814,-15.816719,-10.817639,-12.77496,-14.088043,-18.388773,-21.266499,-13.919594
-392.37952,133.85399,2.536506,-9.820524,19.540367,-3.1115189,-27.401232,-18.257748,-12.381712,-16.254547,-16.297638,-21.471897,-27.013018,-20.047968,-12.941603,-14.83618,-16.689543,-16.540945,-14.965971,-8.832151
-413.83563,124.12618,14.401821,-8.995636,12.208071,-1.0418504,-27.012615,-26.299042,-12.918819,-6.129676,-7.78816,-16.60864,-22.077682,-16.510048,-11.651131,-14.748493,-16.60432,-14.387037,-13.057474,-12.712426
