0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-343.13275,129.06593,-36.338936,28.250061,29.936386,-11.586066,0.62174296,-5.6082926,-8.907022,-3.0944207,-8.403439,-9.790606,-9.930771,-1.1356434,2.023847,-8.794702,-5.9215803,-2.7651222,-8.949045,-5.73287
-350.15677,124.581314,-37.616142,22.973356,21.25695,-23.357967,-7.390719,-10.429744,-18.626131,-8.512292,-8.500713,-14.455406,-12.303229,-2.68473,-3.2903802,-9.249125,-8.812793,-10.614373,-10.664478,-7.4464035
-353.89676,120.26646,-35.15371,28.775986,20.30653,-25.729038,-6.1563025,-8.592762,-18.231155,-10.692518,-8.912031,-15.346539,-18.310371,-2.2549665,2.3642478,-11.300709,-10.065712,-7.510037,-12.099117,-8.62908
-357.8875,119.856544,-37.131477,27.29925,26.55749,-27.448605,-11.006903,-11.259947,-22.117405,-6.410019,-3.529639,-10.492758,-9.458303,-2.345196,-2.3971395,-12.124382,-12.440445,-12.518828,-17.60472,-11.8667755
-350.80356,122.24393,-43.497784,19.147,22.354712,-23.909441,-10.307703,-12.107119,-15.354985,-4.0797634,-7.491232,-10.758505,-9.642519,-3.0523841,1.5928028,-3.7887588,-8.175896,-16.092686,-15.521093,-2.0796623
-335.50955,123.06001,-51.668045,15.750718,6.567819,-26.507532,-1.6237414,-15.832552,-17.783344,-2.4824078,-7.024003,-11.04571,-11.791286,-2.0494082,0.82169676,-8.764029,-10.356457,-15.410669,-14.663856,-5.84941
-338.1143,122.52025,-53.64789,17.19156,20.026188,-20.498192,-8.769677,-22.072393,-24.108166,-10.83281,-8.522638,-4.347831,-7.7624083,-0.23173338,7.846232,-4.290316,-12.133844,-14.997111,-7.3997226,6.0108314
-342.9299,126.01025,-46.315216,16.846117,22.445232,-18.934341,-10.712139,-19.91164,-19.736515,-4.6490607,-1.9169009,-5.1776714,-14.08358,-2.2056932,9.931061,-4.9539394,-12.193431,-12.071711,-8.183342,2.2245538
-341.08548,128.6005,-48.92504,11.085842,18.938196,-22.49384,-9.308611,-18.75196,-25.704102,-4.980868,1.7249588,-6.412257,-14.847271,-6.23623,-0.003766656,-9.161792,-7.893042,-8.777071,-10.169951,-1.7726732
-349.55258,133.8057,-36.137054,6.689016,14.297886,-22.015533,-12.839344,-21.031082,-23.136621,-0.8917103,1.8144487,-7.2253666,-9.36824,-0.4808789,3.739734,-5.3046603,-9.734238,-11.7977495,-7.015193,1.4902008
-316.48193,165.53503,-33.287262,-9.452848,-1.9490298,-25.988417,-9.739576,-21.144802,-29.400278,-10.851719,-4.771263,-9.177212,-12.0425415,-6.6428256,-9.849248,-18.963882,-9.392334,-8.600363,-12.1445,-1.8820499
-317.74283,168.56082,-31.595943,-11.216385,3.998078,-21.400288,-9.699409,-14.41083,-21.865438,-11.821181,-12.342314,-16.76185,-14.33041,-5.947938,-8.921867,-17.960602,-7.905446,-4.7423306,-7.4381905,3.7177668
-315.43918,172.60995,-28.637142,-11.005198,4.1270876,-19.667444,-4.042497,-6.6971493,-20.24805,-13.097398,-10.98967,-20.117603,-20.020573,-6.5432024,-9.348982,-15.795881,-1.7477771,-5.424032,-11.839157,3.651244
-333.70517,161.76155,-26.488075,-13.542772,-0.40915653,-25.626863,-8.438366,-8.592436,-24.025269,-14.614471,-14.498646,-26.310444,-20.17112,-5.6727343,-5.216777,-7.1721106,1.0344702,1.3870587,-3.2933276,-1.4585384
-346.1538,165.18631,-14.569542,-19.771656,0.988782,-16.853228,-9.234975,-9.34676,-25.070854,-17.337608,-10.143533,-19.939207,-21.840477,-15.0994215,-11.731321,-7.4320483,-2.1339736,-0.0358651,2.2615182,-0.7191191
-353.20782,162.76306,-12.762018,-20.278477,5.627616,-13.469049,-12.475613,-11.818029,-27.289677,-21.2855,-14.980816,-24.96931,-21.609447,-8.981526,-4.675777,-2.4457269,-2.468727,-6.775674,-8.522584,-7.7576494
-356.18234,163.72244,-8.245398,-20.216198,4.5988874,-13.353785,-14.735331,-13.827143,-25.529354,-18.819931,-13.798042,-21.700289,-15.848109,-7.639019,-10.6874275,-10.116316,-8.944504,-11.84952,-9.504013,-6.314114
-351.59784,165.4661,-9.789011,-17.07529,9.394993,-11.993287,-15.731304,-15.154279,-25.71587,-18.544353,-14.049633,-20.32069,-14.191034,-8.98362,-11.629362,-8.896052,-9.013391,-11.817499,-8.373749,-8.316606
-354.00296,157.19278,-15.591854,-10.5849,14.244867,-12.14463,-8.405942,-8.453417,-30.274965,-20.563648,-6.655883,-17.2052,-17.964672,-10.376417,-12.030266,-11.450008,-10.5570755,-14.80385,-13.107115,-7.382806
-354.13455,153.61621,-20.051579,-13.598145,8.737059,-15.489686,-9.997865,-10.280576,-24.492575,-15.527001,-12.677818,-20.057766,-13.50891,-8.394112,-10.045647,-11.409807,-15.055437,-12.172878,-4.7813907,-5.317498
-349.35635,149.66776,-20.926945,-3.3922162,3.6108727,-22.032658,-4.786153,-11.624308,-26.56948,-11.335674,-12.926264,-23.715088,-14.907133,-9.22691,-13.912336,-13.7897415,-11.789705,-11.367571,-4.420944,0.6847261
-351.5748,148.33182,-22.913654,-4.8699894,7.8969173,-17.367458,0.40761364,-3.7333088,-23.5906,-8.942031,-4.1609592,-16.719814,-12.3308735,-7.3805027,-13.400768,-12.239605,-7.372544,-7.592108,-6.1181545,-6.716314
-349.698,148.46448,-22.240486,-1.9266267,9.642393,-15.464647,-2.3269796,-9.5217905,-22.805153,-7.1034355,-5.5680227,-18.826012,-19.86758,-16.0786,-13.502938,-9.174101,-9.343082,-11.869543,-6.6735497,-2.0778456
-361.26596,146.46426,-14.87109,-2.5667186,7.9955616,-19.672033,-6.1282625,-5.5057693,-20.987621,-8.88943,-5.7691784,-18.654148,-16.681568,-13.269738,-13.570787,-4.6750193,-3.3952343,-10.440892,-3.4070864,2.4792666
-368.8699,143.1961,-13.245558,-4.668417,10.662571,-10.715933,0.7439808,-3.4821858,-24.6324,-14.766056,-7.90633,-16.696352,-10.441181,-4.7522874,-10.528501,-6.6820154,-1.51112,-4.2489333,0.81089216,5.3910284
-372.43784,147.25201,-10.961434,-12.560875,14.121719,-5.5160084,-4.5599422,-1.5771506,-17.872305,-14.481264,-8.263407,-19.47858,-17.288803,-5.3746586,-7.0814686,-11.128172,-9.876604,-7.2316217,-1.7443585,-1.0463656
-381.6777,143.4419,0.016898558,-1.8603532,12.351204,-11.45311,-3.4753897,2.714232,-17.753868,-16.021914,-5.886911,-15.334066,-17.491783,-10.218412,-12.250649,-14.579995,-13.381654,-12.232403,-3.1664026,5.7299376
-368.04437,141.79802,-5.5570154,10.375807,10.875847,-15.686464,-1.4768949,-8.517668,-21.697445,-8.514298,-7.016305,-12.455546,-7.9243155,-5.697097,-9.601347,-13.07427,-11.525583,-11.425907,-8.035545,3.2455194
-347.7855,136.90549,-25.250929,16.12634,10.32719,-18.86469,4.894272,-3.6864278,-14.839548,-6.453746,-10.184929,-13.709829,-10.590635,-5.3014708,-8.289095,-11.991436,-9.75391,-16.2315,-10.045975,2.3779528
-336.61108,138.31096,-36.20296,13.35547,11.973604,-21.143288,0.062755466,-4.498189,-12.355293,-9.135581,-10.50494,-8.494961,-14.10755,-10.68223,-5.285824,-12.726995,-12.744295,-13.238066,-10.081131,0.0735344
-346.02228,138.16136,-33.713017,6.678671,9.945038,-26.277554,-1.1016197,2.1178255,-16.640654,-11.492266,-3.6644247,-8.780111,-19.361048,-14.634238,-5.333273,-10.815117,-15.390001,-14.411356,-6.6676073,3.2683663
-353.4262,130.55716,-29.954773,17.714146,13.42636,-27.043926,1.4177732,3.4330006,-17.705223,-11.7085285,-3.3732376,-10.079861,-20.255814,-11.015038,-0.89403147,-7.5690203,-6.075037,-2.222156,-3.6510777,-3.2123263
-352.99435,124.92444,-37.745506,19.88429,19.991865,-22.357174,5.490773,5.986974,-14.975298,-8.49736,-3.363504,-10.771042,-18.811014,-8.597975,2.5257316,-6.086815,-8.283007,-3.7524867,-3.6918578,-2.92032
-356.02347,130.03964,-31.316801,20.612223,28.493458,-17.352066,2.6140573,3.5222204,-22.318398,-12.256393,0.89409554,-9.6895075,-16.244911,-3.2623549,3.8320827,-4.524571,-9.055138,-13.169747,-12.526663,-0.2857238
-371.09412,124.80879,-22.682293,19.313717,20.6446,-22.896595,-2.6987941,-3.1303878,-23.25285,-5.603922,-1.3199943,-22.563461,-23.70882,-6.263244,0.4563586,-7.289176,-13.162811,-13.933821,-9.501471,-1.0204718
-375.15375,124.425186,-23.966343,11.101326,15.054764,-29.80398,-11.582363,-5.356496,-25.035124,-9.76516,-0.49243724,-16.287682,-16.50266,-4.435218,-1.8533723,-4.7740803,-5.5976677,-6.336128,-7.7641835,-8.18902
-383.82822,126.04449,-13.938876,9.797878,15.211067,-21.946737,-7.0951824,-4.691846,-23.942493,-8.32487,-0.98571527,-15.937118,-9.56073,1.8187466,-2.7296543,-3.5082355,1.9333763,2.6434894,1.0940048,-0.7629297
-389.5743,123.96643,-17.266853,-1.1273056,12.255014,-18.66995,-5.3328104,-0.1711044,-24.19323,-17.88662,-10.015853,-22.440136,-15.8145275,-4.1785917,-8.771524,-7.7758985,-3.2168808,-3.6908112,-0.80751705,-4.3093023
-381.58722,126.03566,-20.718693,0.9535318,12.3320465,-19.880877,-4.805957,-2.773559,-25.507067,-12.373678,-0.47330832,-15.83291,-16.70486,-5.4207926,-5.834961,-7.205871,-5.330652,-4.916419,-0.19846952,1.2128872
-353.26215,156.1535,-19.190659,-15.377476,4.817995,-26.385418,-18.113712,-8.928821,-26.572079,-15.242718,-0.39722115,-11.477707,-10.543697,-4.9002047,-15.623911,-14.502417,0.11953607,4.754169,5.3027115,3.4821548
-334.34393,167.5046,-24.864708,-19.259308,1.7443584,-27.326925,-11.2226925,-6.2556477,-31.829885,-17.714031,-3.5678296,-18.719854,-12.093675,0.30095038,-9.522314,-9.960953,-0.8141311,-0.04888293,2.621851,1.7054654
-321.40964,182.11365,-17.488575,-15.450401,7.292075,-22.159628,-11.880001,-7.712507,-27.336054,-16.030838,-10.897019,-23.075851,-8.735012,1.6338291,-10.834311,-10.11296,-4.4620514,-7.977073,-4.6247764,-2.8832352
-328.0942,174.15024,-19.080212,-12.099251,9.596698,-17.421024,-4.9765487,-6.791751,-30.106142,-15.537508,-7.5776353,-21.04104,-10.973591,-1.1247506,-9.055566,-6.447692,-1.1288948,-5.140106,-4.022982,-2.3782418
-322.42395,170.7535,-22.96822,-7.869192,0.23691642,-27.981096,-2.8812442,-3.0545373,-28.919327,-21.31821,-12.845017,-21.338554,-22.017084,-11.425777,-7.3847833,-9.083533,-1.9836084,-0.39351904,-6.2776656,-4.4303823
-327.90735,170.86708,-17.44757,-8.5349865,1.4613929,-20.756554,-0.2913646,-2.572696,-21.98834,-13.509525,-8.261782,-16.11089,-17.366104,-9.059784,-4.969165,-8.818575,-3.2482471,5.7326736,3.224626,-4.898478
-327.44754,169.90666,-21.03049,-10.44315,-0.5989299,-26.618782,1.3206859,5.6302843,-22.080303,-17.31068,-10.528717,-20.189495,-18.688683,-10.743195,-10.072491,-9.395878,-3.2602339,1.5226034,3.4334846,2.5418887
-328.2767,169.4885,-23.275764,-11.578756,3.6174843,-26.5606,-3.122733,5.427266,-20.693989,-15.345657,-6.4785404,-17.140308,-14.846111,-5.531539,-8.417687,-14.065126,-11.517134,-1.5018858,5.1712933,-1.1204536
-335.12393,165.66217,-20.813202,-7.281109,9.240097,-24.447407,-2.2102027,8.478443,-20.868233,-16.252882,-4.2371464,-14.045183,-10.6842375,-5.841649,-14.855968,-14.733236,-9.911102,-12.203239,-8.652421,-2.9420035
-350.6171,155.1866,-15.772663,-5.0620813,4.384893,-24.750916,-0.23198336,8.515826,-16.227688,-10.617355,-5.250961,-19.968765,-18.789787,-10.142601,-13.486431,-16.129002,-11.854697,-9.015883,-6.1663284,0.0854218
-343.20956,166.43073,-15.314611,-16.067417,2.947382,-18.686275,2.96998,9.996429,-19.636965,-12.703394,0.21265721,-15.661781,-14.04611,-3.2158065,-11.0660305,-11.498713,-5.5848465,-11.055331,-8.621216,-0.050884604
-354.62802,163.4548,-6.0508885,-13.662294,2.5192177,-15.697453,3.7480147,8.237406,-24.237823,-21.324486,-5.2730446,-16.348204,-18.12144,-11.026516,-15.509872,-12.334699,-6.7141294,-10.060953,-3.1946778,5.17824
-342.70792,163.55374,-14.893935,-8.871948,4.358575,-22.445187,-4.54391,-0.75723743,-21.214588,-10.042961,-2.5035532,-14.81858,-14.788698,-11.576708,-11.884579,-7.9370356,-9.220587,-9.959039,-2.8034117,-4.2839975
-330.33026,158.85991,-21.481068,3.4062288,3.1309516,-22.694256,-0.23156703,-6.4811554,-20.696016,-12.488686,-10.839354,-13.133892,-11.203745,-5.2657967,-4.957264,-7.8443656,-6.4480844,-9.83894,-4.2202663,1.0408046
-333.7609,155.10513,-24.204967,5.846511,5.640568,-31.507679,-5.852481,-3.0441124,-20.120111,-6.009489,0.79701954,-12.18713,-17.254547,-8.981117,-2.3807025,-2.0372434,-2.457427,-4.106409,-3.499679,-4.0012417
-335.89523,158.55276,-23.337593,-0.787832,10.903164,-19.891079,-3.812932,-7.6541386,-26.157541,-13.480717,-7.214602,-13.464318,-11.883926,-7.133424,-5.0757,-6.9664392,-5.874011,-2.3509965,-4.1378374,-6.772044
-327.9796,167.12863,-19.767601,1.2401905,8.927814,-29.432722,-6.5511737,0.6286512,-22.245918,-11.06045,0.31135565,-13.046576,-19.36465,-9.4820175,-1.4150484,-5.036479,-8.563769,-6.7666616,-6.698117,-7.911704
-338.6583,155.97739,-25.672672,1.1788263,17.640911,-22.503788,-11.098324,-6.9937854,-26.35817,-15.248117,-4.1969657,-13.4293995,-13.896702,-5.0403066,-4.320359,-7.9104896,-6.3319416,-6.1761174,-7.901238,-8.0619545
-343.9308,163.22192,-17.981514,-12.543277,5.9359965,-25.752155,-10.218061,-1.1966791,-27.673357,-15.382787,4.538355,-13.34603,-19.141247,-7.403606,-11.640432,-13.589081,-5.869362,-6.3788424,-6.6741076,-6.193331
-354.65173,157.86835,-12.336357,-8.00082,9.002317,-24.23243,-10.929965,2.2567568,-23.142696,-18.99413,-1.8821119,-13.459578,-15.539112,-4.5539446,-8.348265,-10.650623,-8.444062,-13.370468,-8.8705015,-1.6695225
-352.55594,165.41034,-6.6958523,-15.093422,2.0445485,-19.61027,-3.827012,5.22933,-19.562439,-12.275281,3.9858446,-13.592709,-22.557796,-13.435234,-11.886311,-7.5137625,-5.670129,-14.543526,-9.404067,-0.118548214
-354.17953,166.79431,-3.1874046,-12.223842,9.136877,-15.039944,-10.252352,-1.7278636,-20.321175,-14.817678,0.1559836,-11.871491,-18.331299,-11.891063,-12.5912485,-8.044035,-3.9317079,-12.797999,-11.172611,-1.092461
-361.24606,160.32104,-2.5415685,-8.958141,8.818436,-17.949673,-13.430107,-5.920616,-24.345644,-18.051788,-2.442463,-9.693886,-11.96702,-9.901667,-15.830958,-9.729965,-2.5658493,-9.92735,-8.811186,-2.7448483
-363.1025,164.26175,5.6190386,-6.465516,11.742596,-12.775063,-15.221479,-11.266989,-24.852398,-17.00056,-2.146217,-7.382802,-9.294954,-7.9433436,-13.493988,-10.541517,-6.8030896,-9.694439,-1.9807973,4.004136
-364.3423,163.42691,1.1742523,-17.452896,4.6879096,-9.466599,-8.241798,-7.346159,-26.22944,-21.604546,-3.7772417,-4.4102573,-5.6352863,-6.3372836,-14.811714,-10.644049,-1.0619428,-6.14711,-7.750965,-0.9798047
-365.30334,156.96832,-1.3973721,-7.463422,7.9375916,-17.550304,-13.647383,-10.080427,-25.115545,-13.16684,0.36924002,-7.82255,-6.1612554,-2.941904,-10.10769,-7.510241,-5.546125,-10.491135,-1.5839806,6.1734996
-366.7305,156.31229,-0.887207,-6.802344,10.822733,-12.491342,-9.795233,-8.394069,-22.336086,-7.59109,2.977098,-12.88914,-11.666655,-1.9159459,-8.203776,-9.712616,-6.9837036,-8.797174,-2.826463,-0.15567458
