mean,var,skew,kurtosis,delta_mean,delta_var,delta2_mean,delta2_var
0.0,1.0,0.4856064518642388,0.06853472126624967,0.30075376805958,0.0,0.5884962292122138,0.0
1.0,0.10898599993393933,0.0,1.0,1.0,1.0,1.0,1.0
0.5698886110190636,0.09907922533670464,1.0,0.0924450059835817,0.0,0.23279870643897377,0.0,0.9142371027274946
0.6474552555772062,0.038026543561438385,0.613790635397878,0.019233973540753384,0.35499195199112304,0.22158297629495033,0.7974076543596729,0.7117236137750692
0.5930814176252387,0.06490505547703071,0.8232189456820391,0.0,0.26273306675552777,0.1890850484888264,0.5342022231397435,0.7893427801020253
0.6218756429633235,0.013892101867282868,0.5543448031840774,0.09082097184832759,0.3208880216288792,0.08885346969040732,0.6227202008651875,0.4844812476699327
0.5935426072247472,0.01913898552911095,0.886556026758709,0.1606704745325679,0.28094199957994725,0.04283327583404149,0.5649881458643894,0.22670850443084423
0.6277680571136537,0.00857750451473739,0.8122303934071559,0.2835748056564044,0.3246857849308636,0.032892131243100364,0.6142392819426965,0.10583807974308859
0.6095004327803102,0.009072489663468089,0.7346072950930228,0.21376353055135014,0.2879802005779864,0.031590113325692434,0.5668951312295146,0.10347508889594316
0.5963932129629567,0.012746169621401396,0.7307685276378499,0.18410282772833736,0.2915885939910807,0.02981982681181959,0.590619755129334,0.07434206848956462
0.603305001996337,0.01756009567946665,0.4533051987120332,0.13998325492559216,0.3055868104971383,0.024621381535035704,0.5967341268417248,0.057877598570029734
0.600046198013459,0.0027977148081319548,0.6810510716441671,0.0873606177643418,0.2984750616539203,0.030651338340799302,0.5843109918348756,0.07929075299984337
0.6135936253759849,0.006639255956740892,0.6787218835729729,0.10474733086598183,0.31022675559531276,0.019087867335985564,0.5954120567835792,0.0438011414366322
0.6022990623782971,0.014300819122242774,0.7056951115532099,0.01847082209561233,0.29285608744203306,0.017183733431110338,0.578273656505112,0.0445200812623281
0.6184676906377253,0.0005609301436916481,0.5727931119724866,0.15724919752580707,0.31205962044563057,0.03121576179950942,0.5997974359723832,0.06655472038008088
0.6197747982480413,0.011658722716908524,0.6273980606490562,0.038491469393925504,0.3016677581308341,0.019527004148226414,0.5823806574254635,0.04548135175495928
0.6049024207163379,0.0,0.767573860637848,0.054082181009499,0.2903543141105411,0.023409523323387738,0.5818383100668679,0.0660147926972088
0.6009716091896349,0.0010984749727538632,0.7609631961595574,0.10896796302241507,0.2980051629110649,0.014269778167682386,0.5929987248815949,0.03824749962667851
0.6142980156170765,0.001152762213265689,0.7918432174047482,0.2302539860892886,0.31007220753927517,0.014273623526543672,0.5955976394736511,0.03237632389856364
0.6110677739356584,0.013109947430070703,0.6452760880836684,0.058479184980842605,0.29849503373559144,0.02937777644750191,0.5816831060838115,0.05022974281298455
